,Text,Cluster,top_words,representative_term,top_words_BERT
12,"quite number countermeasures installed counteract misuse computers , including web filtering , monitor students use computers .",86,"mcveigh, federal, oklahoma, government, army",mcve,"mcveigh graduated, mcveigh mcveigh, mcveigh worked, mcveigh frequently, 1995 mcveigh, 1993 mcveigh, mcveigh veterans, mcveigh introduced, war mcveigh, mcveigh reaction"
13,moeller art program nationally recognized four-year program culminates advanced placement studio art art history .,130,"school, schools, college, education, high",high,"moeller high, moeller students, ohio moeller, moeller student, moeller crusaders, high schools, archbishop moeller, salle high, moeller, success moeller"
14,moeller crusaders long history athletic success .,130,"school, schools, college, education, high",high,"moeller high, moeller students, ohio moeller, moeller student, moeller crusaders, high schools, archbishop moeller, salle high, moeller, success moeller"
15,lacrosse team two state titles constant force state midwest .,140,"reno, host, basketball, kalamazoo, new",reno,"basketball reno, basketball wbns, basketball tournaments, basketball host, basketball united, college sports, play reno, athletic teams, reno college, international basketball"
16,"moeller high school 's athletic teams - exception boxing , lacrosse , skiing , volleyball - sanctioned ohio high school athletic association ( ohsaa ) compete greater catholic league south , along elder , st. xavier la salle high schools .",130,"school, schools, college, education, high",high,"moeller high, moeller students, ohio moeller, moeller student, moeller crusaders, high schools, archbishop moeller, salle high, moeller, success moeller"
17,"recently , moeller unveiled plans build multipurpose stadium campus ( named gerry faust athletic complex 8-foot bronze statue honoring entrance ) ; however , plan faced strong criticism neighboring homeowners , moeller 's request change zoning regulation denied .",130,"school, schools, college, education, high",high,"moeller high, moeller students, ohio moeller, moeller student, moeller crusaders, high schools, archbishop moeller, salle high, moeller, success moeller"
18,2007 title went second team ohio high school boys ' volleyball history go undefeated .,130,"school, schools, college, education, high",high,"moeller high, moeller students, ohio moeller, moeller student, moeller crusaders, high schools, archbishop moeller, salle high, moeller, success moeller"
19,circular flow diagram abstraction economy whole .,48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
20,"abstraction ignores linear throughput matter energy must power continuous motion money , goods services , factors production .",48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
21,"say circular flow diagram useful understanding basics economy , leakages injections .",48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
22,circular flow income concept better understanding economy whole example national income product accounts ( nipas ) .,48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
23,"alternatively , one think transactions terms monetary flows occur .",48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
24,"circular flow diagram illustrates interdependence `` flows , '' activities , occur economy , production goods services ( `` output '' economy ) income generated production .",48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
25,"course , total economy much complicated illustration .",48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
26,"] one earliest ideas circular flow explained work 18th century irish-french economist richard cantillon , influenced prior economists , especially william petty .",48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
27,"françois quesnay developed concepts , first visualize interactions time so-called tableau économique .",48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
28,"first , regulation impedes flow income throughout social classes therefore economic development .",65,"united, states, federal, war, act",act,"crisis hoover, 1917 overwhelmed, states cut, hoover moratorium, 1914 fear, 1931 proposal, demands federal, moratorium 1931, 1917, spring 1917"
29,"second , taxes productive classes farmers reduced favor higher taxes unproductive classes landowners , since luxurious way life distorts income flow .",81,"texas, south, republican, republic, war",republican,"texas voters, texas elections, governor texas, form texas, texas redistricting, texas constitution, texas contributed, texas education, current texas, election 1860"
30,"marxian economics , economic reproduction refers recurrent ( cyclical ) processes initial conditions necessary economic activity occur constantly re-created .",48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
31,"economic reproduction involves physical production distribution goods services , trade ( circulation via exchanges transactions ) goods services , consumption goods services ( productive intermediate consumption final consumption ) .",48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
32,marx distinguishes `` simple reproduction '' `` expanded ( enlarged ) reproduction '' .,48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
33,"important development john maynard keynes ' 1933 publication general theory employment , interest money .",48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
34,first visualize modern circular flow income model frank knight 1933 publication economic organization .,48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
35,[ may view ] economic organization system prize relations .,48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
36,# measurement national income - national income estimation aggregation economic activity circular flow .,48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
37,# knowledge interdependence - circular flow income signifies interdependence activity upon one another .,48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
38,"# unending nature economic activities - signifies production , income expenditure unending nature , therefore , economic activities economy never come halt .",48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
39,# injections leakages .,48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
40,= e = means expenditure buyers ( households ) becomes income sellers ( firms ) .,48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
41,households spend income ( ) goods services consumption ( c ) .,48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
42,output ( ) produced firms purchased households expenditure ( e ) .,48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
43,financial sector .,48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
44,government sector .,48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
45,foreign sector .,48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
46,"includes household sector , producing sector government sector .",48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
47,sectors receives payments lieu goods services makes regular flow goods physical services .,48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
48,injection means introduction income flow .,48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
49,"financial sector terms circular flow income model , leakage financial institutions provide economy option households save money .",48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
50,government sector leakage government sector provides collection revenue taxes ( ) provided households firms government .,48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
51,"overseas sector main leakage sector imports ( ) , represent spending residents rest world .",48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
52,table 1 leakages injections five sector model .,48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
53,terms five sector circular flow income model state equilibrium occurs total leakages equal total injections occur economy .,48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
54,savings + taxes + imports = investment + government spending + exports .,48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
55,+ + = + g + x .,122,"phi, ct, mathbf, bmatrix, gamma",phi,"bmatrix cosh, beta cosh, gamma quad, quad cosh, bmatrix phi, 2abcxt cosh, gamma bct, cosh phi, quad sinh, mathbf cosh"
56,+ + ≠ + g + x .,122,"phi, ct, mathbf, bmatrix, gamma",phi,"bmatrix cosh, beta cosh, gamma quad, quad cosh, bmatrix phi, 2abcxt cosh, gamma bct, cosh phi, quad sinh, mathbf cosh"
57,effects disequilibrium vary according equations belong .,1,"transformation, boost, two, invariant, light",invariant,"transformations lorentz, lorentz transformations, relativistic contraction, frames transformations, lorentz transformation, spacetime lorentz, frame transformation, frame lorentz, general relativity, mechanics relativistic"
58,"+ + > + g + x levels income , output , expenditure employment fall causing recession contraction overall economic activity .",48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
59,"+ + > + g + x levels income , expenditure output fall causing contraction recession overall economic activity .",48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
60,"equation [ [ economic equilibrium|disequilibrium ] ] , + + < + g + x five sector model levels income , expenditure output greatly rise causing boom economic activity .",48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
61,# real flow exchange goods services household firms whereas money flow monetary exchange two sectors .,48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
62,"# real flow household sector supplies raw material , land , labour , capital enterprise firms return firms sector provides finished goods services household sector .",48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
63,"# goods services flow one sector economy another , known real flow .",48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
64,"production , consumption expenditure generation income three basic economic activities economy go endlessly titled circular flow income .",48,"sector, flow, income, economy, economic",sector,"income flow, economy abstraction, flow income, flow monetary, monetary flows, flow goods, circular flow, abstraction economy, economy example, understanding economy"
65,watts closely connected fowlers .,17,"first, played, made, watts, appearance",watts,"watts eastenders, return eastenders, eastenders later, eastenders began, eastenders success, eastenders, viewers eastenders, watts family, eastenders tried, soaps coronation"
66,watts family also strongly connected beale family .,17,"first, played, made, watts, appearance",watts,"watts eastenders, return eastenders, eastenders later, eastenders began, eastenders success, eastenders, viewers eastenders, watts family, eastenders tried, soaps coronation"
67,"13 august 2012 , sharon returned walford dennis jnr became instantly involved prominent branning family ; shared flirtatious relationship jack soon befriended brother max ultimately partner tanya cross , initially feuded .",97,"erinsborough, hospital, trevor, finds, danny",trevor,"starring spencer, film murder, fraser murder, married janelle, crime drama, chloe husband, played stephanie, holly affair, holly married, role holly"
68,"watts family one central families introduced viewers eastenders began 1985 , created show 's co-creators tony holland julia smith .",17,"first, played, made, watts, appearance",watts,"watts eastenders, return eastenders, eastenders later, eastenders began, eastenders success, eastenders, viewers eastenders, watts family, eastenders tried, soaps coronation"
69,"april 1988 , anita dobson made last appearance angie watts , soon afterwards leslie grantham expressed desire step role den watts .",17,"first, played, made, watts, appearance",watts,"watts eastenders, return eastenders, eastenders later, eastenders began, eastenders success, eastenders, viewers eastenders, watts family, eastenders tried, soaps coronation"
70,"however , popularity watts viewers importance family show meant successive producers executives continually asked dean , dobson , grantham reprise roles .",17,"first, played, made, watts, appearance",watts,"watts eastenders, return eastenders, eastenders later, eastenders began, eastenders success, eastenders, viewers eastenders, watts family, eastenders tried, soaps coronation"
71,"den 's return widely regarded coup seen instrumental eastenders success time , facing tight competition itv soaps , coronation street enjoying one successful years ever , emmerdale midst ratings revival .",17,"first, played, made, watts, appearance",watts,"watts eastenders, return eastenders, eastenders later, eastenders began, eastenders success, eastenders, viewers eastenders, watts family, eastenders tried, soaps coronation"
72,", family increasingly dominated volatile relationship husband wife , culminating den 's death february 2005 , leslie grantham decided extend current contract .",17,"first, played, made, watts, appearance",watts,"watts eastenders, return eastenders, eastenders later, eastenders began, eastenders success, eastenders, viewers eastenders, watts family, eastenders tried, soaps coronation"
73,"despite official bbc report 2005 stating letitia dean taking scheduled break would return eastenders later 2006 , happen away show six years .",17,"first, played, made, watts, appearance",watts,"watts eastenders, return eastenders, eastenders later, eastenders began, eastenders success, eastenders, viewers eastenders, watts family, eastenders tried, soaps coronation"
74,importance vic watts became obvious sharon returned lay claim pub 6-year absence .,17,"first, played, made, watts, appearance",watts,"watts eastenders, return eastenders, eastenders later, eastenders began, eastenders success, eastenders, viewers eastenders, watts family, eastenders tried, soaps coronation"
75,return den ( 14 years ) took conflict two families another level .,17,"first, played, made, watts, appearance",watts,"watts eastenders, return eastenders, eastenders later, eastenders began, eastenders success, eastenders, viewers eastenders, watts family, eastenders tried, soaps coronation"
76,"soon , den joined second wife chrissie , pair proceeded bring whole mitchell financial empire , bankrupting family scam retaking control vic .",17,"first, played, made, watts, appearance",watts,"watts eastenders, return eastenders, eastenders later, eastenders began, eastenders success, eastenders, viewers eastenders, watts family, eastenders tried, soaps coronation"
77,"august 2012 , sharon sought phil 's help son dennis ( harry hickles ) kidnapped fiancé john hewland ( jesse birdsall ) .",97,"erinsborough, hospital, trevor, finds, danny",trevor,"starring spencer, film murder, fraser murder, married janelle, crime drama, chloe husband, played stephanie, holly affair, holly married, role holly"
78,"november 2015 , gavin sullivan ( paul nicholas ) revealed den watts gang eric mitchell 1960s growing together walford .",17,"first, played, made, watts, appearance",watts,"watts eastenders, return eastenders, eastenders later, eastenders began, eastenders success, eastenders, viewers eastenders, watts family, eastenders tried, soaps coronation"
79,"throughout years on-screen , watts one eastenders tried tested sources drama tragedy .",17,"first, played, made, watts, appearance",watts,"watts eastenders, return eastenders, eastenders later, eastenders began, eastenders success, eastenders, viewers eastenders, watts family, eastenders tried, soaps coronation"
80,1986 christmas day episode den delivered angie divorce papers highest rated airing british soap television history .,17,"first, played, made, watts, appearance",watts,"watts eastenders, return eastenders, eastenders later, eastenders began, eastenders success, eastenders, viewers eastenders, watts family, eastenders tried, soaps coronation"
81,"return sharon six years later 2001 became seminal moment show , eclipsed intense media scrutiny surrounding den 's return two years later .",17,"first, played, made, watts, appearance",watts,"watts eastenders, return eastenders, eastenders later, eastenders began, eastenders success, eastenders, viewers eastenders, watts family, eastenders tried, soaps coronation"
82,"however , watts family also received criticism press viewers .",17,"first, played, made, watts, appearance",watts,"watts eastenders, return eastenders, eastenders later, eastenders began, eastenders success, eastenders, viewers eastenders, watts family, eastenders tried, soaps coronation"
83,"watts notably fractured family ; condition made strong-willed , independent , yet also volatile vulnerable ( especially ) .",17,"first, played, made, watts, appearance",watts,"watts eastenders, return eastenders, eastenders later, eastenders began, eastenders success, eastenders, viewers eastenders, watts family, eastenders tried, soaps coronation"
84,"watts centre figure den , casts strong shadow family .",17,"first, played, made, watts, appearance",watts,"watts eastenders, return eastenders, eastenders later, eastenders began, eastenders success, eastenders, viewers eastenders, watts family, eastenders tried, soaps coronation"
85,] much drama watts household centres responses den 's selfish actions manipulative ways .,17,"first, played, made, watts, appearance",watts,"watts eastenders, return eastenders, eastenders later, eastenders began, eastenders success, eastenders, viewers eastenders, watts family, eastenders tried, soaps coronation"
86,"although den 's first second wives appeared on-screen combined total 5 years ( angie 1985-88 ; chrissie 2004-2005 ) , immense impact show watts family .",17,"first, played, made, watts, appearance",watts,"watts eastenders, return eastenders, eastenders later, eastenders began, eastenders success, eastenders, viewers eastenders, watts family, eastenders tried, soaps coronation"
87,"adopted mother stepmother , angie chrissie fiercely protective charges .",97,"erinsborough, hospital, trevor, finds, danny",trevor,"starring spencer, film murder, fraser murder, married janelle, crime drama, chloe husband, played stephanie, holly affair, holly married, role holly"
88,"rather , two mrs watts highly individual volatile figures , dominated relationship den .",17,"first, played, made, watts, appearance",watts,"watts eastenders, return eastenders, eastenders later, eastenders began, eastenders success, eastenders, viewers eastenders, watts family, eastenders tried, soaps coronation"
89,relationship den `` princess '' central dynamic watts family .,17,"first, played, made, watts, appearance",watts,"watts eastenders, return eastenders, eastenders later, eastenders began, eastenders success, eastenders, viewers eastenders, watts family, eastenders tried, soaps coronation"
90,common method cantilever-deflection measurements beam-deflection method .,125,"afm, deflection, scanning, cantilevers, used",afm,"cantilever deflection, cantilever piezoresistive, detection cantilevers, measure cantilever, cantilevers quartz, piezoresistive detection, method cantilever, piezoelectric detection, cantilevers fabricated, cantilever used"
91,"relative popularity beam-deflection method explained high sensitivity simple operation , fact cantilevers require electrical contacts special treatments , therefore fabricated relatively cheaply sharp integrated tips .",125,"afm, deflection, scanning, cantilevers, used",afm,"cantilever deflection, cantilever piezoresistive, detection cantilevers, measure cantilever, cantilevers quartz, piezoresistive detection, method cantilever, piezoelectric detection, cantilevers fabricated, cantilever used"
92,many methods beam-deflection measurements exist .,125,"afm, deflection, scanning, cantilevers, used",afm,"cantilever deflection, cantilever piezoresistive, detection cantilevers, measure cantilever, cantilevers quartz, piezoresistive detection, method cantilever, piezoelectric detection, cantilevers fabricated, cantilever used"
93,"piezoelectric detection - cantilevers made quartz ( qplus configuration ) , piezoelectric materials directly detect deflection electrical signal .",125,"afm, deflection, scanning, cantilevers, used",afm,"cantilever deflection, cantilever piezoresistive, detection cantilevers, measure cantilever, cantilevers quartz, piezoresistive detection, method cantilever, piezoelectric detection, cantilevers fabricated, cantilever used"
94,laser doppler vibrometry - laser doppler vibrometer used produce accurate deflection measurements oscillating cantilever ( thus used non-contact mode ) .,125,"afm, deflection, scanning, cantilevers, used",afm,"cantilever deflection, cantilever piezoresistive, detection cantilevers, measure cantilever, cantilevers quartz, piezoresistive detection, method cantilever, piezoelectric detection, cantilevers fabricated, cantilever used"
95,stm - first atomic microscope used stm complete feedback mechanism measure deflection .,125,"afm, deflection, scanning, cantilevers, used",afm,"cantilever deflection, cantilever piezoresistive, detection cantilevers, measure cantilever, cantilevers quartz, piezoresistive detection, method cantilever, piezoelectric detection, cantilevers fabricated, cantilever used"
96,optical interferometry - optical interferometry used measure cantilever deflection .,125,"afm, deflection, scanning, cantilevers, used",afm,"cantilever deflection, cantilever piezoresistive, detection cantilevers, measure cantilever, cantilevers quartz, piezoresistive detection, method cantilever, piezoelectric detection, cantilevers fabricated, cantilever used"
97,capacitive detection - metal coated cantilevers form capacitor another contact located behind cantilever .,125,"afm, deflection, scanning, cantilevers, used",afm,"cantilever deflection, cantilever piezoresistive, detection cantilevers, measure cantilever, cantilevers quartz, piezoresistive detection, method cantilever, piezoelectric detection, cantilevers fabricated, cantilever used"
98,piezoresistive detection - cantilevers fabricated piezoresistive elements act strain gauge .,125,"afm, deflection, scanning, cantilevers, used",afm,"cantilever deflection, cantilever piezoresistive, detection cantilevers, measure cantilever, cantilevers quartz, piezoresistive detection, method cantilever, piezoelectric detection, cantilevers fabricated, cantilever used"
99,"image formation plotting method produces color mapping changing x-y position tip scanning recording measured variable , i.e . intensity control signal , x-y coordinate .",125,"afm, deflection, scanning, cantilevers, used",afm,"cantilever deflection, cantilever piezoresistive, detection cantilevers, measure cantilever, cantilevers quartz, piezoresistive detection, method cantilever, piezoelectric detection, cantilevers fabricated, cantilever used"
100,operation mode image forming afm generally classified two groups viewpoint whether uses z-feedback loop ( shown ) maintain tip-sample distance keep signal intensity exported detector .,125,"afm, deflection, scanning, cantilevers, used",afm,"cantilever deflection, cantilever piezoresistive, detection cantilevers, measure cantilever, cantilevers quartz, piezoresistive detection, method cantilever, piezoelectric detection, cantilevers fabricated, cantilever used"
101,details explained case especially `` constant df mode '' ( fm-afm ) among afm instance next section .,125,"afm, deflection, scanning, cantilevers, used",afm,"cantilever deflection, cantilever piezoresistive, detection cantilevers, measure cantilever, cantilevers quartz, piezoresistive detection, method cantilever, piezoelectric detection, cantilevers fabricated, cantilever used"
102,"sample concavity convexity , distance tip-apex sample varies accordance concavity convexity accompanied scan sample along x-y direction ( without height regulation z-direction ) .",125,"afm, deflection, scanning, cantilevers, used",afm,"cantilever deflection, cantilever piezoresistive, detection cantilevers, measure cantilever, cantilevers quartz, piezoresistive detection, method cantilever, piezoelectric detection, cantilevers fabricated, cantilever used"
103,"hand , df may kept constant moving probe upward downward ( see ( 3 ) fig.5 ) z-direction using negative feedback ( using z-feedback loop ) raster scan sample surface along x-y direction .",125,"afm, deflection, scanning, cantilevers, used",afm,"cantilever deflection, cantilever piezoresistive, detection cantilevers, measure cantilever, cantilevers quartz, piezoresistive detection, method cantilever, piezoelectric detection, cantilevers fabricated, cantilever used"
104,"like tool , afm 's usefulness limitations .",125,"afm, deflection, scanning, cantilevers, used",afm,"cantilever deflection, cantilever piezoresistive, detection cantilevers, measure cantilever, cantilevers quartz, piezoresistive detection, method cantilever, piezoelectric detection, cantilevers fabricated, cantilever used"
105,afm several advantages scanning electron microscope ( sem ) .,125,"afm, deflection, scanning, cantilevers, used",afm,"cantilever deflection, cantilever piezoresistive, detection cantilevers, measure cantilever, cantilevers quartz, piezoresistive detection, method cantilever, piezoelectric detection, cantilevers fabricated, cantilever used"
106,disadvantage afm compared scanning electron microscope ( sem ) single scan image size .,125,"afm, deflection, scanning, cantilevers, used",afm,"cantilever deflection, cantilever piezoresistive, detection cantilevers, measure cantilever, cantilevers quartz, piezoresistive detection, method cantilever, piezoelectric detection, cantilevers fabricated, cantilever used"
107,scanning speed afm also limitation .,125,"afm, deflection, scanning, cantilevers, used",afm,"cantilever deflection, cantilever piezoresistive, detection cantilevers, measure cantilever, cantilevers quartz, piezoresistive detection, method cantilever, piezoelectric detection, cantilevers fabricated, cantilever used"
108,"afm images also affected nonlinearity , hysteresis , creep piezoelectric material cross-talk x , , z axes may require software enhancement filtering .",125,"afm, deflection, scanning, cantilevers, used",afm,"cantilever deflection, cantilever piezoresistive, detection cantilevers, measure cantilever, cantilevers quartz, piezoresistive detection, method cantilever, piezoelectric detection, cantilevers fabricated, cantilever used"
109,primary orofacial herpes readily identified clinical examination persons previous history lesions contact individual known hsv-1 infection .,34,"hsv, herpes, genital, virus, treatment",hsv,"herpes infections, herpes viruses, treatment herpes, herpes virus, oral herpes, orofacial herpes, herpes hsv, viruses herpesviridae, study herpes, association herpes"
110,"genital herpes difficult diagnose oral herpes , since hsv-2-infected persons classical symptoms .",34,"hsv, herpes, genital, virus, treatment",hsv,"herpes infections, herpes viruses, treatment herpes, herpes virus, oral herpes, orofacial herpes, herpes hsv, viruses herpesviridae, study herpes, association herpes"
111,1980s serological tests antibodies hsv rarely useful diagnosis routinely used clinical practice .,34,"hsv, herpes, genital, virus, treatment",hsv,"herpes infections, herpes viruses, treatment herpes, herpes virus, oral herpes, orofacial herpes, herpes hsv, viruses herpesviridae, study herpes, association herpes"
112,"confused conditions caused viruses herpesviridae family herpes zoster , caused varicella zoster virus .",34,"hsv, herpes, genital, virus, treatment",hsv,"herpes infections, herpes viruses, treatment herpes, herpes virus, oral herpes, orofacial herpes, herpes hsv, viruses herpesviridae, study herpes, association herpes"
113,"method eradicates herpes virus body , antiviral medications reduce frequency , duration , severity outbreaks .",34,"hsv, herpes, genital, virus, treatment",hsv,"herpes infections, herpes viruses, treatment herpes, herpes virus, oral herpes, orofacial herpes, herpes hsv, viruses herpesviridae, study herpes, association herpes"
